theta_2,deltaQ_tot,Q_respond_max,Q_respond_min,Q_respond_mean,Q_respond_1min_max,Q_respond_1min_min,Q_respond_1min_mean,deltaQ_benchmark_tot,Q_respond_benchmark_max,constraint_deltaQ,constraint_Qrespond,feasible_deltaQ,feasible_Qrespond,smooth_max_Tr,constraint_Tr,feasible_Tr
60.0,419692047445.8743,4708528.809635782,805566.8783815103,1952422.331817112,2496276.7276090644,774897.4537404729,1278991.1968610007,224641076823.91196,3022179.5634525646,138890701415.98438,930804.3553200755,0.0,0.0,38.05747819827794,-4.942521801722059,1.0
60.52631578947368,408975826792.38873,4676509.342575732,808671.6655477446,1912163.8945456075,2490429.0781623377,778271.9091316869,1262721.3116817032,224641076823.91196,3022179.5634525646,128174480762.49876,898784.8882600254,0.0,0.0,38.0285015669548,-4.971498433045198,1.0
61.05263157894737,396347014574.7373,4621188.033792509,811289.0292633834,1869366.9005157268,2477831.331922423,781116.6215246858,1244946.2714288237,224641076823.91196,3022179.5634525646,115545668544.84737,843463.5794768026,0.0,0.0,38.13385218925606,-4.866147810743939,1.0
61.578947368421055,383833703948.4072,4552978.327090089,814018.0114358462,1829107.8903132484,2460498.1985755386,784072.8129224797,1228793.6377795378,224641076823.91196,3022179.5634525646,103032357918.51727,775253.872774384,0.0,0.0,38.07162622270851,-4.92837377729149,1.0
62.10526315789473,371252971736.1262,4476815.615904299,816620.7322546381,1789366.3641419855,2438254.347295516,786914.0812752808,1213501.5115834752,224641076823.91196,3022179.5634525646,90451625706.23625,699091.1615885925,0.0,0.0,38.063612822441726,-4.936387177558274,1.0
62.63157894736842,358792115609.8132,4393209.702387868,819115.8349082976,1750365.0956396833,2397059.596149425,789593.0822749624,1197115.4065235232,224641076823.91196,3022179.5634525646,77990769579.92322,615485.2480721632,0.0,0.0,38.05621694455409,-4.943783055445913,1.0
63.157894736842096,347854359673.9178,4317387.05005058,821496.9592407157,1715668.7465309263,2358252.7785298964,792189.1190660393,1183371.224586888,224641076823.91196,3022179.5634525646,67053013644.02783,539662.5957348738,0.0,0.0,37.97916883645279,-5.020831163547207,1.0
63.68421052631578,337735097073.0633,4243780.301943443,823805.697894035,1683029.1192343656,2320272.6959301825,794644.7006377574,1170958.852279608,224641076823.91196,3022179.5634525646,56933751043.17333,466055.8476277366,0.0,0.0,37.77233614893914,-5.227663851060861,1.0
64.21052631578948,328732781221.7871,4175421.24378036,825946.1229024999,1653039.9563294377,2286115.62423886,796943.3872755684,1160227.4255968218,224641076823.91196,3022179.5634525646,47931435191.89716,397696.78946465394,0.0,0.0,37.77204045853399,-5.2279595414660065,1.0
64.73684210526315,320123784813.77094,4107025.317365772,827978.1456817811,1623709.99334092,2251859.623183556,799133.7629821175,1149597.98056191,224641076823.91196,3022179.5634525646,39322438783.88104,329300.86305006593,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
65.26315789473684,312596692262.806,4044981.0615447904,829858.7748965934,1597532.7506461027,2221420.01253823,801141.728003557,1140351.8334934944,224641076823.91196,3022179.5634525646,31795346232.91608,267256.60722908424,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
65.78947368421052,305477498133.2514,3984373.2399572018,831607.7571841549,1572165.0058587391,2190971.469077311,803017.3341986622,1131280.7967724355,224641076823.91196,3022179.5634525646,24676152103.361446,206648.78564149607,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
66.3157894736842,298812761765.23926,3924695.5414937967,833383.5336128918,1547912.9797131163,2160087.568659134,804916.0243167545,1122718.2014267743,224641076823.91196,3022179.5634525646,18011415735.349304,146971.0871780906,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
66.84210526315789,292226442884.4023,3863059.7203172254,834971.3228319209,1523713.755287791,2128587.566042033,806623.2846282487,1114220.367557747,224641076823.91196,3022179.5634525646,11425096854.512327,85335.26600151928,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
67.36842105263158,286418818205.7539,3807536.026074732,837023.2443877411,1501513.787138361,2098478.709065888,808800.6790216116,1106803.2049558635,224641076823.91196,3022179.5634525646,5617472175.863953,29811.571759026032,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
67.89473684210526,280550475596.8337,3748640.6930396967,837677.9179113567,1478928.748423967,2064865.2319529909,809529.7896455338,1098180.537188886,224641076823.91196,3022179.5634525646,-250870433.0562744,-29083.76127600949,1.0,1.0,37.77204045845959,-5.227959541540407,1.0
68.42105263157895,275512027731.05426,3697422.523947069,839435.3051690409,1458600.6596709483,2037437.317180356,811391.5218345235,1091551.396453274,224641076823.91196,3022179.5634525646,-5289318298.835692,-80301.9303686372,1.0,1.0,37.77204045845959,-5.227959541540407,1.0
68.94736842105263,270311561482.8932,3640771.8379379534,839797.0209097025,1437226.0183008166,2004713.740914372,811810.7130317569,1083562.572052988,224641076823.91196,3022179.5634525646,-10489784546.996763,-136952.61637775227,1.0,1.0,37.77204045845959,-5.227959541540407,1.0
69.47368421052632,265698570418.13647,3587362.844097154,841440.6834805886,1417408.831988299,1974258.533425701,813553.051882495,1076729.8913890452,224641076823.91196,3022179.5634525646,-15102775611.753448,-190361.61021855197,1.0,1.0,37.77204045845959,-5.227959541540407,1.0
70.0,261223167325.13263,3531526.0513719744,841994.3977872571,1397944.4417813127,1941383.877658312,814178.1166289271,1069744.3691076632,224641076823.91196,3022179.5634525646,-19578178704.757324,-246198.40294373172,1.0,1.0,37.77204045845959,-5.227959541540407,1.0
