theta_3,cost,term_Tr,term_Ts,term_dTs,regularization,termTr_COP,termTs_COP
4.000000000000000000e+04,3.818729775598212086e+02,1.561788316388976909e+02,1.333909729368954800e+02,8.511278235902800304e+01,7.190390625000000036e+00,4.273380605079415441e+08,4.378840416449028254e+08
5.631578947368421359e+04,4.022657871883779990e+02,1.585226764785319631e+02,1.337666745679233884e+02,1.027703308354821843e+02,7.206105306440443670e+00,4.372842140843318105e+08,4.385468963899481297e+08
7.263157894736842718e+04,4.247116004541092593e+02,1.611840366119789110e+02,1.342087592791548332e+02,1.220916604753715831e+02,7.227144087603878830e+00,4.487817068797439337e+08,4.393891976438292265e+08
8.894736842105262622e+04,4.301867898749742380e+02,1.633272798384184341e+02,1.345713457090375016e+02,1.250346573590280030e+02,7.253506968490304629e+00,4.581234496391226053e+08,4.400914626367021799e+08
1.052631578947368398e+05,4.323520947045968228e+02,1.651613617644371175e+02,1.348708816320319386e+02,1.250346573590280030e+02,7.285193949099722843e+00,4.658639909127362967e+08,4.406086810707336664e+08
1.215789473684210534e+05,4.347483046251985570e+02,1.671192884691473068e+02,1.352721537675910781e+02,1.250346573590280030e+02,7.322205029432133472e+00,4.738211801075836420e+08,4.414441027579736114e+08
1.378947368421052524e+05,4.340813626327044972e+02,1.695272012131743509e+02,1.357471989618178441e+02,1.214424222482247586e+02,7.364540209487534739e+00,4.837560810812933445e+08,4.424227142806879878e+08
1.542105263157894660e+05,4.182142275954603292e+02,1.723962027427691339e+02,1.362310623949791477e+02,1.021747629684461458e+02,7.412199489265928420e+00,4.957316040150054693e+08,4.432840360574429631e+08
1.705263157894736796e+05,4.043421472379747570e+02,1.755312682191581928e+02,1.367748112979467408e+02,8.457088485210249473e+01,7.465182868767312740e+00,5.090493266938964128e+08,4.443183732280626297e+08
1.868421052631578932e+05,3.924634229052311412e+02,1.789293119201367972e+02,1.373798327379083730e+02,6.863078789919428857e+01,7.523490347991689475e+00,5.236580918944293857e+08,4.455296986102121472e+08
2.031578947368421068e+05,3.826152231740084630e+02,1.826225981239811063e+02,1.380510310133675773e+02,5.435447210972067467e+01,7.587121926939058625e+00,5.397814756269668341e+08,4.469310347389398217e+08
2.194736842105263204e+05,3.745247101655270967e+02,1.863998448303054545e+02,1.387268502459304500e+02,4.174193748368174539e+01,7.656077605609418413e+00,5.564252184134223461e+08,4.483491601053528190e+08
2.357894736842105049e+05,3.683921563455565433e+02,1.900361166283828709e+02,1.393410222821423758e+02,3.128466005102851710e+01,7.730357384002770615e+00,5.725691793790266514e+08,4.495788563054971099e+08
2.521052631578947185e+05,3.677290867729701063e+02,1.931064478958465713e+02,1.398110448404639783e+02,2.700163277454042543e+01,7.809961262119113456e+00,5.862246501057827473e+08,4.504236164677883983e+08
2.684210526315789321e+05,3.623084073775206093e+02,1.958471531313930143e+02,1.402056602094679931e+02,1.836070479670114963e+01,7.894889239958448712e+00,5.984622507274394035e+08,4.510773166785238385e+08
2.847368421052631456e+05,3.585808635347278823e+02,1.986189789443031657e+02,1.405931852906071526e+02,1.138355798229675031e+01,7.985141317520776383e+00,6.109051795155079365e+08,4.516985306180066466e+08
3.010526315789473592e+05,3.561817504082104620e+02,2.010693426034833919e+02,1.409268406195656951e+02,6.104849690355234060e+00,8.080717494806094692e+00,6.221062588578913212e+08,4.522099113731974363e+08
3.173684210526315728e+05,3.539320495368108368e+02,2.022859706402496442e+02,1.410091959219262492e+02,2.455265202820576143e+00,8.181617771814403639e+00,6.277898255282133818e+08,4.521574283886562586e+08
3.336842105263157864e+05,3.527594274391035469e+02,2.029009160107324305e+02,1.410048514743120336e+02,5.658178055133288309e-01,8.287842148545706777e+00,6.307047275551855564e+08,4.519647754423605800e+08
3.500000000000000000e+05,3.529152585837017568e+02,2.029527107390053118e+02,1.410052027524515381e+02,5.579544672449098242e-01,8.399390625000000554e+00,6.309445453513497114e+08,4.519502340888888836e+08
