theta_4,cost,term_Tr,term_Ts,term_dTs,regularization
0.000000000000000000e+00,3.551072409062439306e+02,1.613503783735595789e+02,1.338422519076843002e+02,5.651522000000006329e+01,3.399390624999999666e+00
1.052631578947368507e+04,3.551183212386538912e+02,1.613503783735595789e+02,1.338422519076843002e+02,5.651522000000006329e+01,3.410470957409971859e+00
2.105263157894737014e+04,3.551515622358837732e+02,1.613503783735595789e+02,1.338422519076843002e+02,5.651522000000006329e+01,3.443711954639889328e+00
3.157894736842105340e+04,3.552069638979336332e+02,1.613503783735595789e+02,1.338422519076843002e+02,5.651522000000006329e+01,3.499113616689750295e+00
4.210526315789474029e+04,3.552845262248034715e+02,1.613503783735595789e+02,1.338422519076843002e+02,5.651522000000006329e+01,3.576675943559556536e+00
5.263157894736842718e+04,3.553842492164932310e+02,1.613503783735595789e+02,1.338422519076843002e+02,5.651522000000006329e+01,3.676398935249307165e+00
6.315789473684210679e+04,3.457737280256282588e+02,1.615179628106636187e+02,1.338839292068959139e+02,4.657355341630972134e+01,3.798282591759003068e+00
7.368421052631580096e+04,3.461422393933134458e+02,1.616988405983528025e+02,1.339275184655622866e+02,4.657355341630972134e+01,3.942326913088642470e+00
8.421052631578948058e+04,3.466540489994181371e+02,1.619804072371971984e+02,1.339915564466729450e+02,4.657355341630972134e+01,4.108531899238227147e+00
9.473684210526316019e+04,3.474090121902310671e+02,1.624377524899333025e+02,1.341008087337802976e+02,4.657355341630972134e+01,4.296897550207756211e+00
1.052631578947368544e+05,3.486281108244503457e+02,1.632817659280970588e+02,1.342958545287551146e+02,4.654306650160095415e+01,4.507423865997229662e+00
1.157894736842105340e+05,3.514242238814072721e+02,1.640177608767525612e+02,1.344612271580482172e+02,4.820512499999991007e+01,4.740110846606648387e+00
1.263157894736842136e+05,3.508006601627041050e+02,1.646548274464825568e+02,1.346078077225845675e+02,4.654306650160095415e+01,4.994958492036010611e+00
1.368421052631578932e+05,3.517617616840980190e+02,1.652084398611830522e+02,1.347382885190287141e+02,4.654306650160095415e+01,5.271966802285318998e+00
1.473684210526316019e+05,3.527872386237899605e+02,1.658027353151437353e+02,1.348703010296906939e+02,4.654306650160095415e+01,5.571135777354571772e+00
1.578947368421052815e+05,3.541089666905377840e+02,1.666264272680726606e+02,1.350470355086427787e+02,4.654303849657858194e+01,5.892465417243768044e+00
1.684210526315789612e+05,3.559347258174090030e+02,1.678637010844597057e+02,1.352920305144178599e+02,4.654303849657858194e+01,6.235955721952908704e+00
1.789473684210526408e+05,3.577844602767339666e+02,1.691059884961843522e+02,1.355338265924890493e+02,4.654303849657858194e+01,6.601606691481994638e+00
1.894736842105263204e+05,3.573971812229212333e+02,1.703457567249915598e+02,1.357493211681477590e+02,4.431268500395087528e+01,6.989418325831025847e+00
2.000000000000000000e+05,3.546009763887161057e+02,1.716157147018362821e+02,1.359365322002396113e+02,3.964933886164017451e+01,7.399390625000000554e+00
